분야,영역,세부사업코드,세부사업명,담당부서
1.미래,1-1 교육과정,1-1-1,유치원 교육과정,유초등특수교육과
1.미래,1-1 교육과정,1-1-2,초등학교 교육과정,유초등특수교육과
1.미래,1-1 교육과정,1-1-3,중학교 교육과정,중등교육과
1.미래,1-1 교육과정,1-1-4,고등학교 교육과정,중등교육과
1.미래,1-1 교육과정,1-1-5,특수교육,유초등특수교육과
1.미래,1-2 수업혁신,1-2-1,수업전문성 신장,"유초등특수교육과, 중등교육과"
1.미래,1-2 수업혁신,1-2-2,전북미래학교,미래교육과
1.미래,1-2 수업혁신,1-2-3,국제바칼로레아(IB) 프로그램,미래교육과
1.미래,1-3 미래교육,1-3-1,AIㆍ디지털 수업 지원,미래교육과
1.미래,1-3 미래교육,1-3-2,디지털 교육환경 구축,미래교육과
1.미래,1-3 미래교육,1-3-3,학교공간 재구조화,"중등교육과, 창의인재교육과, 민주시민교육과"
2.책임,2-1 학력신장,2-1-1,학력신장 프로그램,"유초등특수교육과, 중등교육과"
2.책임,2-1 학력신장,2-1-2,기초학력 책임제,"유초등특수교육과, 중등교육과"
2.책임,2-1 학력신장,2-1-3,학생평가,"유초등특수교육과, 중등교육과"
2.책임,2-1 학력신장,2-1-4,독서인문교육,문예체건강과
2.책임,2-1 학력신장,2-1-5,체육 · 예술교육,문예체건강과
2.책임,2-2 진로·진학 교육,2-2-1,진로교육,"유초등특수교육과, 중등교육과"
2.책임,2-2 진로·진학 교육,2-2-2,진학지도,중등교육과
2.책임,2-3 차별없는 교육,2-3-1,차별없는 공·사립 지원,"유초등특수교육과,  예산과, 행정과, 재무과"
2.책임,2-3 차별없는 교육,2-3-2,다문화·북한배경학생 교육,민주시민교육과
2.책임,2-3 차별없는 교육,2-3-3,대안교육 · 학교 밖 청소년 지원,민주시민교육과
2.책임,2-3 차별없는 교육,2-3-4,평생교육,창의인재교육과
3.안전,3-1 안전한 학교,3-1-1,관계중심 생활교육,민주시민교육과
3.안전,3-1 안전한 학교,3-1-2,학생 마음건강 지원,민주시민교육과
3.안전,3-1 안전한 학교,3-1-3,교육활동보호,전북교육인권센터
3.안전,3-1 안전한 학교,3-1-4,인권교육,전북교육인권센터
3.안전,3-1 안전한 학교,3-1-5,학생건강·보건,문예체건강과
3.안전,3-1 안전한 학교,3-1-6,영양·식생활교육,문예체건강과
3.안전,3-1 안전한 학교,3-1-7,안전한 학교교육환경,"학교안전과, 문예체건강과"
3.안전,3-2 교육복지,3-2-1,전북형 늘봄학교·방과후학교,미래교육과
3.안전,3-2 교육복지,3-2-2,학생맞춤통합지원,미래교육과
3.안전,3-2 교육복지,3-2-3,교육비 지원,"학교안전과, 문예체건강과"
4.자치,4-1 학교문화,4-1-1,학교자치,민주시민교육과
4.자치,4-1 학교문화,4-1-2,학생의회ㆍ자치,"민주시민교육과, 교육협력과"
4.자치,4-1 학교문화,4-1-3,학부모 교육 참여,교육협력과
4.자치,4-2 교육행정,4-2-1,교사 행정업무 경감,정책기획과
4.자치,4-2 교육행정,4-2-2,교직원 인사행정,"교원인사과, 총무과, 노사협력과"
4.자치,4-2 교육행정,4-2-3,교직원 역량강화 지원,"정책기획과, 교원인사과, 노사협력과"
4.자치,4-2 교육행정,4-2-4,학원 운영 투명성 강화,창의인재교육과
5.협력,5-1 작은학교 지원 강화,5-1-1,작은학교 운영 지원,"교육협력과, 유초등특수교육과"
5.협력,5-1 작은학교 지원 강화,5-1-2,적정규모 학교 조성,행정과
5.협력,5-2 지역교육 생태계 조성,5-2-1,마을교육 생태계,교육협력과
5.협력,5-2 지역교육 생태계 조성,5-2-2,지역교육 현안 해결,교육협력과
5.협력,5-2 지역교육 생태계 조성,5-2-3,지역 연계 특성화고,창의인재교육과
6.공동체,6-1 세계 인재 육성,6-1-1,학생 해외연수 · 국제교류수업,정책기획과
6.공동체,6-1 세계 인재 육성,6-1-2,외국어교육,창의인재교육과
6.공동체,6-1 세계 인재 육성,6-1-3,과학·융합(STEAM)·발명교육,창의인재교육과
6.공동체,6-1 세계 인재 육성,6-1-4,수학·영재교육,창의인재교육과
6.공동체,6-2 지속가능 상생 교육,6-2-1,인성교육,민주시민교육과
6.공동체,6-2 지속가능 상생 교육,6-2-2,민주시민교육,민주시민교육과
6.공동체,6-2 지속가능 상생 교육,6-2-3,환경교육,민주시민교육과
6.공동체,6-2 지속가능 상생 교육,6-2-4,역사교육,"유초등특수교육과, 중등교육과"
6.공동체,6-2 지속가능 상생 교육,6-2-5,평화공존교육,민주시민교육과
